t,lat,lon,alt,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
10.0,35.698595358944885,51.26862031957704,1320.001475777477,-6.898589290926696e-05,-2.104821433590557e-05,0.0,1.7052830501851115e-12,5.684282254961234e-13,0.0,193.9,70.0,0.0,255.0,0.0
10.05,35.69859179837328,51.26861894590792,1320.0014749532565,-6.89858928240028e-05,-2.104821430748416e-05,0.0,8.526415250925679e-13,1.421082489964226e-12,0.0,193.82758928571428,70.0,0.0,255.0,0.0
10.100000000000001,35.698588237470574,51.26861757241149,1320.001474129036,-6.89858928240028e-05,-2.104821419379732e-05,0.0,-5.684341886080801e-13,0.0,0.0,193.7551785714286,70.0,0.0,255.0,0.0
10.150000000000002,35.69858467623693,51.268616199088264,1320.0014733066782,-6.898589288084622e-05,-2.104821430748416e-05,0.0,0.0,-1.1368683772161603e-12,0.0,193.68276785714286,70.0,0.0,255.0,0.0
10.200000000000003,35.698581114672564,51.26861482593875,1320.0014724843204,-6.89858928240028e-05,-2.104821430748416e-05,0.0,0.0,0.0,0.0,193.61035714285714,70.0,0.0,255.0,0.0
10.250000000000004,35.698577552777635,51.26861345296348,1320.0014716619626,-6.898589288084622e-05,-2.104821430748416e-05,0.0,-5.684341886080801e-13,0.0,0.0,193.53794642857142,70.0,0.0,255.0,0.0
10.300000000000004,35.698573990552305,51.26861208016294,1320.0014708396047,-6.898589288084622e-05,-2.104821430748416e-05,0.0,5.684341886080801e-13,1.1368683772161603e-12,0.0,193.46553571428572,70.0,0.0,255.0,0.0
10.350000000000005,35.69857042799676,51.26861070753767,1320.001470017247,-6.89858928240028e-05,-2.104821419379732e-05,0.0,0.0,0.0,0.0,193.393125,70.0,0.0,255.0,0.0
10.400000000000006,35.6985668651112,51.26860933508815,1320.001469197683,-6.898589288084622e-05,-2.104821430748416e-05,0.0,0.0,-1.1368683772161603e-12,0.0,193.32071428571427,70.0,0.0,255.0,0.0
10.450000000000006,35.69856330189579,51.26860796281491,1320.0014683734626,-6.89858928240028e-05,-2.104821430748416e-05,0.0,5.684341886080801e-13,0.0,0.0,193.24830357142858,70.0,0.0,255.0,0.0
10.500000000000007,35.69855973835073,51.268606590718456,1320.001467552036,-6.89858928240028e-05,-2.104821430748416e-05,0.0,-1.1368683772161603e-12,0.0,0.0,193.17589285714286,70.0,0.0,255.0,0.0
10.550000000000008,35.698556174476174,51.2686052187993,1320.0014667296782,-6.898589293768964e-05,-2.104821430748416e-05,0.0,-5.684341886080801e-13,1.1368683772161603e-12,0.0,193.10348214285713,70.0,0.0,255.0,0.0
10.600000000000009,35.69855261027234,51.26860384705795,1320.0014659101143,-6.898589288084622e-05,-2.104821419379732e-05,0.0,1.1368683772161603e-12,0.0,0.0,193.0310714285714,70.0,0.0,255.0,0.0
10.65000000000001,35.698549045739384,51.26860247549492,1320.0014650886878,-6.89858928240028e-05,-2.104821430748416e-05,0.0,5.684341886080801e-13,-1.1368683772161603e-12,0.0,192.9586607142857,70.0,0.0,255.0,0.0
10.70000000000001,35.698545480877485,51.26860110411072,1320.0014642672613,-6.89858928240028e-05,-2.104821430748416e-05,0.0,0.0,1.1368683772161603e-12,0.0,192.88625,70.0,0.0,255.0,0.0
10.75000000000001,35.69854191568687,51.268599732905855,1320.0014634467661,-6.89858928240028e-05,-2.104821419379732e-05,0.0,-5.684341886080801e-13,0.0,0.0,192.81383928571427,70.0,0.0,255.0,0.0
10.800000000000011,35.69853835016768,51.26859836188084,1320.0014626281336,-6.898589288084622e-05,-2.104821430748416e-05,0.0,0.0,-2.2737367544323206e-12,0.0,192.74142857142857,70.0,0.0,255.0,0.0
10.850000000000012,35.6985347843201,51.268596991036176,1320.0014618085697,-6.89858928240028e-05,-2.1048214421170997e-05,0.0,0.0,0.0,0.0,192.66901785714285,70.0,0.0,255.0,0.0
10.900000000000013,35.69853121814436,51.26859562037238,1320.0014609880745,-6.898589288084622e-05,-2.104821430748416e-05,0.0,-1.1368683772161603e-12,2.2737367544323206e-12,0.0,192.59660714285712,70.0,0.0,255.0,0.0
10.950000000000014,35.69852765164061,51.26859424988996,1320.0014601685107,-6.898589293768964e-05,-2.104821419379732e-05,0.0,5.684341886080801e-13,0.0,0.0,192.5241964285714,70.0,0.0,255.0,0.0
11.000000000000014,35.69852408480902,51.26859287958942,1320.0014593498781,-6.89858928240028e-05,-2.104821430748416e-05,0.0,1.1368683772161603e-12,-1.1368683772161603e-12,0.0,192.4517857142857,70.0,0.0,255.0,0.0
11.050000000000015,35.69852051764984,51.26859150947126,1320.001458532177,-6.89858928240028e-05,-2.104821430748416e-05,0.0,-5.684341886080801e-13,0.0,0.0,192.37937499999998,70.0,0.0,255.0,0.0
11.100000000000016,35.69851695016321,51.268590139535995,1320.0014577135444,-6.898589288084622e-05,-2.104821430748416e-05,0.0,0.0,0.0,0.0,192.30696428571426,70.0,0.0,255.0,0.0
11.150000000000016,35.69851338234933,51.26858876978413,1320.0014568930492,-6.89858928240028e-05,-2.104821430748416e-05,0.0,0.0,1.1368683772161603e-12,0.0,192.23455357142856,70.0,0.0,255.0,0.0
11.200000000000017,35.69850981420839,51.268587400216184,1320.0014560744166,-6.898589288084622e-05,-2.104821419379732e-05,0.0,-5.684341886080801e-13,0.0,0.0,192.16214285714284,70.0,0.0,255.0,0.0
11.250000000000018,35.69850624574058,51.26858603083265,1320.0014552576467,-6.898589288084622e-05,-2.104821430748416e-05,0.0,5.684341886080801e-13,-1.1368683772161603e-12,0.0,192.08973214285712,70.0,0.0,255.0,0.0
