Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-10.5,-10.5,0,255,255,255
250,-10.4922,-10.4946,0.0263,255,255,255
500,-10.4629,-10.4741,0.1249,255,255,255
750,-10.4132,-10.4393,0.2926,255,255,255
1000,-10.3442,-10.3911,0.5251,255,255,255
1250,-10.2573,-10.3303,0.818,255,255,255
1500,-10.1537,-10.2579,1.167,255,255,255
1750,-10.0348,-10.1747,1.5678,255,255,255
2000,-9.9019,-10.0817,2.0161,255,255,255
2250,-9.7562,-9.9798,2.5074,255,255,255
2500,-9.599,-9.8699,3.0375,255,255,255
2750,-9.4316,-9.7528,3.602,255,255,255
3000,-9.2554,-9.6294,4.1966,255,255,255
3250,-9.0715,-9.5008,4.8169,255,255,255
3500,-8.8814,-9.3677,5.4587,255,255,255
3750,-8.6862,-9.2311,6.1175,255,255,255
4000,-8.4873,-9.0918,6.7891,255,255,255
4250,-8.286,-8.9508,7.4691,255,255,255
4500,-8.0835,-8.809,8.1531,255,255,255
4750,-7.8812,-8.6672,8.8369,255,255,255
5000,-7.6803,-8.5264,9.5161,255,255,255
5250,-7.4822,-8.3875,10.1864,255,255,255
5500,-7.288,-8.2513,10.8434,255,255,255
5750,-7.0992,-8.1188,11.4827,255,255,255
6000,-6.917,-7.9909,12.1002,255,255,255
6250,-6.7427,-7.8684,12.6913,255,255,255
6500,-6.5775,-7.7523,13.2519,255,255,255
6750,-6.4229,-7.6435,13.7774,255,255,255
7000,-6.2767,-7.5409,14.2748,255,255,255
7250,-6.1335,-7.4411,14.7622,255,255,255
7500,-5.9931,-7.3442,15.24,255,255,255
7750,-5.8557,-7.2502,15.7082,255,255,255
8000,-5.7213,-7.1592,16.1664,255,255,255
8250,-5.5898,-7.0711,16.6148,255,255,255
8500,-5.4614,-6.9861,17.053,255,255,255
8750,-5.3361,-6.9041,17.481,255,255,255
9000,-5.2139,-6.8252,17.8987,255,255,255
9250,-5.0949,-6.7495,18.3059,255,255,255
9500,-4.9791,-6.677,18.7024,255,255,255
9750,-4.8665,-6.6078,19.0883,255,255,255
10000,-4.7572,-6.5418,19.4633,255,255,255
10250,-4.6513,-6.4791,19.8272,255,255,255
10500,-4.5487,-6.4198,20.1801,255,255,255
10750,-4.4495,-6.364,20.5218,255,255,255
11000,-4.3537,-6.3115,20.852,255,255,255
11250,-4.2615,-6.2626,21.1708,255,255,255
11500,-4.1727,-6.2172,21.4779,255,255,255
11750,-4.0875,-6.1753,21.7733,255,255,255
12000,-4.006,-6.1371,22.0568,255,255,255
12250,-3.9281,-6.1026,22.3283,255,255,255
12500,-3.8538,-6.0717,22.5876,255,255,255
12750,-3.7833,-6.0446,22.8347,255,255,255
13000,-3.7166,-6.0213,23.0694,255,255,255
13250,-3.6536,-6.0018,23.2915,255,255,255
13500,-3.5945,-5.9862,23.5011,255,255,255
13750,-3.5393,-5.9744,23.698,255,255,255
14000,-3.4876,-5.9662,23.883,255,255,255
14250,-3.4394,-5.9615,24.0563,255,255,255
14500,-3.3947,-5.9601,24.2184,255,255,255
14750,-3.3532,-5.9619,24.3695,255,255,255
15000,-3.315,-5.9669,24.5101,255,255,255
15250,-3.2798,-5.9749,24.6406,255,255,255
15500,-3.2476,-5.9858,24.7612,255,255,255
15750,-3.2182,-5.9995,24.8724,255,255,255
16000,-3.1916,-6.0159,24.9744,255,255,255
16250,-3.1677,-6.0349,25.0678,255,255,255
16500,-3.1463,-6.0564,25.1527,255,255,255
16750,-3.1274,-6.0802,25.2297,255,255,255
17000,-3.1107,-6.1063,25.299,255,255,255
17250,-3.0964,-6.1346,25.3611,255,255,255
17500,-3.0841,-6.1649,25.4162,255,255,255
17750,-3.0738,-6.1971,25.4647,255,255,255
18000,-3.0655,-6.2312,25.5071,255,255,255
18250,-3.0589,-6.267,25.5436,255,255,255
18500,-3.0541,-6.3043,25.5747,255,255,255
18750,-3.0508,-6.3432,25.6007,255,255,255
19000,-3.049,-6.3834,25.6219,255,255,255
19250,-3.0486,-6.425,25.6387,255,255,255
19500,-3.0495,-6.4677,25.6515,255,255,255
19750,-3.0515,-6.5114,25.6606,255,255,255
20000,-3.0545,-6.5561,25.6665,255,255,255
20250,-3.0585,-6.6016,25.6694,255,255,255
20500,-3.0634,-6.6479,25.6698,255,255,255
20750,-3.0689,-6.6948,25.6679,255,255,255
21000,-3.0751,-6.7422,25.6642,255,255,255
21250,-3.0818,-6.7899,25.659,255,255,255
21500,-3.0889,-6.8381,25.653,255,255,255
21750,-3.0962,-6.8864,25.6472,255,255,255
22000,-3.1036,-6.9348,25.6416,255,255,255
22250,-3.1112,-6.9829,25.6362,255,255,255
22500,-3.119,-7.0307,25.6311,255,255,255
22750,-3.127,-7.0778,25.6264,255,255,255
23000,-3.135,-7.124,25.6221,255,255,255
23250,-3.1432,-7.1692,25.6183,255,255,255
23500,-3.1515,-7.213,25.6151,255,255,255
23750,-3.1599,-7.2554,25.6125,255,255,255
24000,-3.1684,-7.296,25.6106,255,255,255
24250,-3.1769,-7.3346,25.6094,255,255,255
24500,-3.1855,-7.3711,25.6089,255,255,255
24750,-3.1941,-7.4052,25.6094,255,255,255
25000,-3.2028,-7.4367,25.6108,255,255,255
25250,-3.2115,-7.4653,25.6131,255,255,255
25500,-3.2201,-7.4909,25.6165,255,255,255
25750,-3.2288,-7.5133,25.6209,255,255,255
26000,-3.2374,-7.5321,25.6266,255,255,255
26250,-3.246,-7.5473,25.6334,255,255,255
26500,-3.2546,-7.5585,25.6415,255,255,255
26750,-3.2631,-7.5666,25.6507,255,255,255
27000,-3.2716,-7.5733,25.6604,255,255,255
27250,-3.2802,-7.5789,25.6706,255,255,255
27500,-3.2888,-7.5834,25.6812,255,255,255
27750,-3.2974,-7.5871,25.6922,255,255,255
28000,-3.3061,-7.5901,25.7034,255,255,255
28250,-3.3148,-7.5925,25.715,255,255,255
28500,-3.3235,-7.5945,25.7267,255,255,255
28750,-3.3322,-7.5962,25.7386,255,255,255
29000,-3.341,-7.5979,25.7505,255,255,255
29250,-3.3497,-7.5995,25.7625,255,255,255
29500,-3.3585,-7.6014,25.7744,255,255,255
29750,-3.3674,-7.6035,25.7863,255,255,255
30000,-3.3762,-7.6062,25.798,255,255,255
30250,-3.3851,-7.6095,25.8095,255,255,255
30500,-3.3939,-7.6136,25.8208,255,255,255
30750,-3.4028,-7.6187,25.8317,255,255,255
31000,-3.4117,-7.6248,25.8423,255,255,255
31250,-3.4207,-7.6322,25.8524,255,255,255
31500,-3.4296,-7.6409,25.8621,255,255,255
31750,-3.4385,-7.6512,25.8713,255,255,255
32000,-3.4475,-7.6632,25.8798,255,255,255
32250,-3.4565,-7.677,25.8878,255,255,255
32500,-3.4654,-7.6928,25.895,255,255,255
32750,-3.4744,-7.7107,25.9014,255,255,255
33000,-3.4834,-7.7309,25.9071,255,255,255
33250,-3.4924,-7.7536,25.9118,255,255,255
33500,-3.5014,-7.7789,25.9157,255,255,255
33750,-3.5104,-7.8068,25.9185,255,255,255
34000,-3.5194,-7.8377,25.9204,255,255,255
34250,-3.5284,-7.8716,25.9211,255,255,255
34500,-3.5374,-7.9087,25.9207,255,255,255
34750,-3.5465,-7.9492,25.919,255,255,255
35000,-3.5555,-7.9931,25.9161,255,255,255
35250,-3.5645,-8.0407,25.9119,255,255,255
35500,-3.5735,-8.092,25.9063,255,255,255
35750,-3.5825,-8.1473,25.8993,255,255,255
36000,-3.5915,-8.206,25.8902,255,255,255
36250,-3.6005,-8.2668,25.8778,255,255,255
36500,-3.6095,-8.3296,25.8624,255,255,255
36750,-3.6185,-8.3943,25.8442,255,255,255
37000,-3.6276,-8.4607,25.8234,255,255,255
37250,-3.6366,-8.5288,25.8002,255,255,255
37500,-3.6456,-8.5984,25.7749,255,255,255
37750,-3.6546,-8.6694,25.7475,255,255,255
38000,-3.6636,-8.7417,25.7184,255,255,255
38250,-3.6726,-8.8153,25.6878,255,255,255
38500,-3.6816,-8.8899,25.6559,255,255,255
38750,-3.6906,-8.9655,25.6229,255,255,255
39000,-3.6996,-9.0419,25.5889,255,255,255
39250,-3.7086,-9.1191,25.5543,255,255,255
39500,-3.7176,-9.1969,25.5193,255,255,255
39750,-3.7265,-9.2753,25.4839,255,255,255
40000,-3.7354,-9.3541,25.4486,255,255,255
40250,-3.7443,-9.4331,25.4134,255,255,255
40500,-3.7532,-9.5124,25.3786,255,255,255
40750,-3.7621,-9.5917,25.3444,255,255,255
41000,-3.771,-9.6709,25.3111,255,255,255
41250,-3.7798,-9.7501,25.2788,255,255,255
41500,-3.7886,-9.8289,25.2477,255,255,255
41750,-3.7974,-9.9074,25.2181,255,255,255
42000,-3.8062,-9.9854,25.1901,255,255,255
42250,-3.8149,-10.0628,25.1641,255,255,255
42500,-3.8236,-10.1394,25.1401,255,255,255
42750,-3.8323,-10.2153,25.1185,255,255,255
43000,-3.8409,-10.2902,25.0994,255,255,255
43250,-3.8495,-10.364,25.083,255,255,255
43500,-3.858,-10.4367,25.0696,255,255,255
43750,-3.8666,-10.5081,25.0594,255,255,255
44000,-3.8753,-10.5782,25.0526,255,255,255
44250,-3.8846,-10.647,25.0495,255,255,255
44500,-3.8943,-10.7143,25.0497,255,255,255
44750,-3.9046,-10.7801,25.053,255,255,255
45000,-3.9152,-10.8444,25.0591,255,255,255
45250,-3.9261,-10.907,25.0679,255,255,255
45500,-3.9373,-10.9679,25.0791,255,255,255
45750,-3.9487,-11.027,25.0924,255,255,255
46000,-3.9602,-11.0842,25.1077,255,255,255
46250,-3.9718,-11.1394,25.1245,255,255,255
46500,-3.9833,-11.1925,25.1428,255,255,255
46750,-3.9949,-11.2435,25.1623,255,255,255
47000,-4.0063,-11.2923,25.1826,255,255,255
47250,-4.0175,-11.3388,25.2037,255,255,255
47500,-4.0284,-11.3829,25.2252,255,255,255
47750,-4.0391,-11.4246,25.2469,255,255,255
48000,-4.0493,-11.4637,25.2685,255,255,255
48250,-4.0591,-11.5002,25.2898,255,255,255
48500,-4.0685,-11.5341,25.3107,255,255,255
48750,-4.0772,-11.5651,25.3307,255,255,255
49000,-4.0853,-11.5933,25.3497,255,255,255
49250,-4.0928,-11.6185,25.3675,255,255,255
49500,-4.0994,-11.6407,25.3837,255,255,255
49750,-4.1053,-11.6598,25.3982,255,255,255
50000,-4.1102,-11.6757,25.4107,255,255,255
50250,-4.1143,-11.6884,25.421,255,255,255
50500,-4.1173,-11.6977,25.4288,255,255,255
50750,-4.1192,-11.7036,25.4338,255,255,255
51000,-4.12,-11.7059,25.436,255,255,255
51250,-4.12,-11.706,25.436,255,255,255
51500,-4.12,-11.706,25.436,255,255,255
51750,-4.12,-11.706,25.436,255,255,255
52000,-4.12,-11.706,25.436,255,255,255
52250,-4.12,-11.706,25.436,255,255,255
52500,-4.12,-11.706,25.436,255,255,255
52750,-4.12,-11.706,25.436,255,255,255
53000,-4.12,-11.706,25.436,255,255,255
53250,-4.12,-11.706,25.436,255,255,255
53500,-4.12,-11.706,25.436,255,255,255
53750,-4.12,-11.706,25.436,255,255,255
54000,-4.12,-11.706,25.436,255,255,255
54250,-4.1081,-11.7082,25.3717,255,255,255
54500,-4.0807,-11.7133,25.1647,255,255,255
54750,-4.0694,-11.7154,24.8844,255,255,255
55000,-4.1067,-11.7085,24.6032,255,255,255
55250,-4.192,-11.6927,24.3576,255,255,255
55500,-4.2785,-11.6767,24.1131,255,255,255
55750,-4.3901,-11.6558,23.829,255,255,255
56000,-4.5628,-11.6233,23.4487,255,255,255
56250,-4.7786,-11.5824,23.0002,255,255,255
56500,-5.0184,-11.5369,22.5132,255,255,255
56750,-5.2632,-11.4905,22.0174,255,255,255
57000,-5.494,-11.4468,21.5426,255,255,255
57250,-5.706,-11.4067,21.0963,255,255,255
