Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,1.5,1.5,0,255,255,255
250,1.5017,1.4991,0.0096,255,255,255
500,1.5082,1.4956,0.0463,255,255,255
750,1.5195,1.4897,0.1096,255,255,255
1000,1.5354,1.4813,0.1987,255,255,255
1250,1.5558,1.4706,0.313,255,255,255
1500,1.5805,1.4576,0.4516,255,255,255
1750,1.6094,1.4425,0.6137,255,255,255
2000,1.6423,1.4252,0.7986,255,255,255
2250,1.6792,1.4058,1.0055,255,255,255
2500,1.7198,1.3845,1.2337,255,255,255
2750,1.7641,1.3613,1.4823,255,255,255
3000,1.812,1.3363,1.7507,255,255,255
3250,1.8631,1.3096,2.0379,255,255,255
3500,1.9175,1.2812,2.3433,255,255,255
3750,1.975,1.2512,2.6661,255,255,255
4000,2.0353,1.2198,3.0044,255,255,255
4250,2.0978,1.1872,3.355,255,255,255
4500,2.1622,1.1535,3.7167,255,255,255
4750,2.2284,1.119,4.088,255,255,255
5000,2.296,1.0836,4.4678,255,255,255
5250,2.365,1.0475,4.8546,255,255,255
5500,2.4349,1.0109,5.2471,255,255,255
5750,2.5057,0.9738,5.6441,255,255,255
6000,2.577,0.9364,6.0443,255,255,255
6250,2.6486,0.8989,6.4462,255,255,255
6500,2.7204,0.8613,6.8487,255,255,255
6750,2.792,0.8237,7.2504,255,255,255
7000,2.8632,0.7863,7.65,255,255,255
7250,2.9338,0.7492,8.0461,255,255,255
7500,3.0036,0.7126,8.4376,255,255,255
7750,3.0723,0.6765,8.823,255,255,255
8000,3.1396,0.6411,9.201,255,255,255
8250,3.2055,0.6065,9.5703,255,255,255
8500,3.2695,0.5728,9.9297,255,255,255
8750,3.3316,0.5402,10.2778,255,255,255
9000,3.3914,0.5087,10.6133,255,255,255
9250,3.4487,0.4786,10.9349,255,255,255
9500,3.5033,0.4498,11.2412,255,255,255
9750,3.555,0.4226,11.531,255,255,255
10000,3.6035,0.3971,11.803,255,255,255
10250,3.6486,0.3734,12.0558,255,255,255
10500,3.69,0.3516,12.2882,255,255,255
10750,3.7275,0.3318,12.4987,255,255,255
11000,3.7609,0.3142,12.6862,255,255,255
11250,3.79,0.2989,12.8492,255,255,255
11500,3.8145,0.286,12.9866,255,255,255
11750,3.8342,0.2757,13.0969,255,255,255
12000,3.8488,0.268,13.1789,255,255,255
12250,3.8581,0.263,13.2312,255,255,255
12500,3.8619,0.261,13.2525,255,255,255
12750,3.862,0.261,13.253,255,255,255
13000,3.862,0.261,13.253,255,255,255
13250,3.862,0.261,13.253,255,255,255
13500,3.862,0.261,13.253,255,255,255
13750,3.862,0.261,13.253,255,255,255
14000,3.862,0.261,13.253,255,255,255
14250,3.862,0.261,13.253,255,255,255
14500,3.862,0.261,13.253,255,255,255
14750,3.862,0.261,13.253,255,255,255
15000,3.862,0.261,13.253,255,255,255
15250,3.862,0.261,13.253,255,255,255
15500,3.862,0.261,13.253,255,255,255
15750,3.862,0.261,13.253,255,255,255
16000,3.862,0.261,13.253,255,255,255
16250,3.862,0.261,13.253,255,255,255
16500,3.862,0.261,13.253,255,255,255
16750,3.8526,0.2659,13.2401,255,255,255
17000,3.8152,0.2856,13.1885,255,255,255
17250,3.7466,0.3216,13.0942,255,255,255
17500,3.6444,0.3752,12.9535,255,255,255
17750,3.506,0.4478,12.7631,255,255,255
18000,3.334,0.5381,12.5265,255,255,255
18250,3.1407,0.6394,12.2603,255,255,255
18500,2.9329,0.7484,11.974,255,255,255
18750,2.7174,0.8614,11.6769,255,255,255
19000,2.5006,0.975,11.3781,255,255,255
19250,2.2894,1.0858,11.0869,255,255,255
19500,2.0903,1.1902,10.8124,255,255,255
19750,1.91,1.2847,10.564,255,255,255
20000,1.7551,1.3659,10.3507,255,255,255
20250,1.6359,1.4284,10.1868,255,255,255
20500,1.5582,1.4693,10.08,255,255,255
20750,1.5153,1.4919,10.021,255,255,255
21000,1.5003,1.4998,10.0004,255,255,255
21250,1.5,1.5,10,255,255,255
21500,1.5,1.5,10,255,255,255
21750,1.5,1.5,10,255,255,255
22000,1.5,1.5,10,255,255,255
22250,1.5,1.5,10,255,255,255
22500,1.5,1.5,10,255,255,255
22750,1.5,1.5,10,255,255,255
23000,1.5,1.5,10,255,255,255
23250,1.5,1.5,10,255,255,255
23500,1.5,1.5,10,255,255,255
23750,1.5,1.5,10,255,255,255
24000,1.5,1.5,10,255,255,255
24250,1.5,1.5,10,255,255,255
24500,1.5,1.5,10,255,255,255
24750,1.5,1.5,10,255,255,255
25000,1.5,1.5,10,255,255,255
