Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,1.5,7.5,0,255,255,255
250,1.499,7.4987,0.0141,255,255,255
500,1.4953,7.4936,0.0669,255,255,255
750,1.4891,7.4851,0.1568,255,255,255
1000,1.4804,7.4732,0.2814,255,255,255
1250,1.4695,7.4582,0.4384,255,255,255
1500,1.4564,7.4404,0.6254,255,255,255
1750,1.4415,7.4199,0.8401,255,255,255
2000,1.4248,7.397,1.0801,255,255,255
2250,1.4064,7.3718,1.3432,255,255,255
2500,1.3867,7.3446,1.6269,255,255,255
2750,1.3656,7.3157,1.929,255,255,255
3000,1.3435,7.2852,2.2471,255,255,255
3250,1.3203,7.2534,2.5789,255,255,255
3500,1.2964,7.2204,2.922,255,255,255
3750,1.2719,7.1865,3.2741,255,255,255
4000,1.2469,7.1519,3.6329,255,255,255
4250,1.2215,7.1169,3.996,255,255,255
4500,1.1961,7.0816,4.3612,255,255,255
4750,1.1706,7.0462,4.7259,255,255,255
5000,1.1453,7.0111,5.088,255,255,255
5250,1.1204,6.9763,5.4451,255,255,255
5500,1.096,6.9422,5.7948,255,255,255
5750,1.0722,6.9089,6.1348,255,255,255
6000,1.0493,6.8767,6.4628,255,255,255
6250,1.0274,6.8457,6.7765,255,255,255
6500,1.0066,6.8162,7.0734,255,255,255
6750,0.9871,6.7885,7.3513,255,255,255
7000,0.9688,6.7624,7.614,255,255,255
7250,0.9508,6.7376,7.8715,255,255,255
7500,0.9333,6.7141,8.1241,255,255,255
7750,0.9162,6.692,8.3718,255,255,255
8000,0.8996,6.6712,8.6144,255,255,255
8250,0.8834,6.6518,8.8519,255,255,255
8500,0.8677,6.6338,9.0843,255,255,255
8750,0.8524,6.6172,9.3115,255,255,255
9000,0.8375,6.602,9.5335,255,255,255
9250,0.8231,6.5884,9.7501,255,255,255
9500,0.8092,6.5761,9.9614,255,255,255
9750,0.7958,6.5654,10.1673,255,255,255
10000,0.7828,6.5563,10.3677,255,255,255
10250,0.7703,6.5486,10.5626,255,255,255
10500,0.7583,6.5426,10.7519,255,255,255
10750,0.7468,6.5381,10.9355,255,255,255
11000,0.7357,6.5352,11.1135,255,255,255
11250,0.7252,6.534,11.2857,255,255,255
11500,0.7151,6.5344,11.4522,255,255,255
11750,0.7056,6.5365,11.6127,255,255,255
12000,0.6965,6.5403,11.7674,255,255,255
12250,0.688,6.5458,11.9161,255,255,255
12500,0.68,6.553,12.0587,255,255,255
12750,0.6725,6.562,12.1953,255,255,255
13000,0.6655,6.5728,12.3258,255,255,255
13250,0.6591,6.5854,12.4501,255,255,255
13500,0.6532,6.5998,12.5681,255,255,255
13750,0.6478,6.6161,12.6799,255,255,255
14000,0.643,6.6343,12.7856,255,255,255
14250,0.6387,6.6544,12.8861,255,255,255
14500,0.6348,6.6764,12.9815,255,255,255
14750,0.6314,6.7002,13.0719,255,255,255
15000,0.6285,6.7257,13.1574,255,255,255
15250,0.626,6.7528,13.2381,255,255,255
15500,0.6239,6.7815,13.3142,255,255,255
15750,0.6222,6.8116,13.3858,255,255,255
16000,0.6209,6.8431,13.453,255,255,255
16250,0.6201,6.8759,13.5159,255,255,255
16500,0.6195,6.9099,13.5747,255,255,255
16750,0.6193,6.9451,13.6295,255,255,255
17000,0.6195,6.9813,13.6803,255,255,255
17250,0.62,7.0184,13.7273,255,255,255
17500,0.6208,7.0565,13.7707,255,255,255
17750,0.6219,7.0953,13.8105,255,255,255
18000,0.6232,7.1348,13.8469,255,255,255
18250,0.6249,7.175,13.88,255,255,255
18500,0.6268,7.2158,13.9099,255,255,255
18750,0.6289,7.257,13.9368,255,255,255
19000,0.6312,7.2986,13.9607,255,255,255
19250,0.6338,7.3404,13.9817,255,255,255
19500,0.6366,7.3825,14.0001,255,255,255
19750,0.6395,7.4248,14.0159,255,255,255
20000,0.6426,7.4671,14.0292,255,255,255
20250,0.6459,7.5093,14.0402,255,255,255
20500,0.6493,7.5515,14.049,255,255,255
20750,0.6528,7.5934,14.0557,255,255,255
21000,0.6564,7.6351,14.0604,255,255,255
21250,0.6601,7.6764,14.0632,255,255,255
21500,0.6639,7.7173,14.0643,255,255,255
21750,0.6678,7.7577,14.0638,255,255,255
22000,0.6717,7.7974,14.0618,255,255,255
22250,0.6757,7.8364,14.0584,255,255,255
22500,0.6797,7.8747,14.0538,255,255,255
22750,0.6837,7.9121,14.048,255,255,255
23000,0.6877,7.9486,14.0413,255,255,255
23250,0.6917,7.984,14.0336,255,255,255
23500,0.6956,8.0183,14.0252,255,255,255
23750,0.6995,8.0515,14.0161,255,255,255
24000,0.7034,8.0834,14.0065,255,255,255
24250,0.7072,8.1139,13.9965,255,255,255
24500,0.7108,8.143,13.9862,255,255,255
24750,0.7144,8.1705,13.9758,255,255,255
25000,0.7179,8.1961,13.9647,255,255,255
25250,0.7214,8.2189,13.952,255,255,255
25500,0.725,8.2391,13.9378,255,255,255
25750,0.7285,8.2569,13.9222,255,255,255
