Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,4.5,4.5,0,255,255,255
250,4.4997,4.4998,0.0013,255,255,255
500,4.4988,4.4989,0.0061,255,255,255
750,4.497,4.4974,0.0147,255,255,255
1000,4.4946,4.4952,0.0268,255,255,255
1250,4.4914,4.4924,0.0425,255,255,255
1500,4.4875,4.4889,0.0619,255,255,255
1750,4.4829,4.4848,0.0847,255,255,255
2000,4.4776,4.4801,0.1112,255,255,255
2250,4.4716,4.4747,0.1411,255,255,255
2500,4.4648,4.4688,0.1746,255,255,255
2750,4.4574,4.4621,0.2116,255,255,255
3000,4.4492,4.4549,0.252,255,255,255
3250,4.4404,4.447,0.2959,255,255,255
3500,4.4309,4.4386,0.3432,255,255,255
3750,4.4207,4.4295,0.3939,255,255,255
4000,4.4098,4.4198,0.4481,255,255,255
4250,4.3982,4.4095,0.5056,255,255,255
4500,4.3859,4.3986,0.5665,255,255,255
4750,4.373,4.3872,0.6307,255,255,255
5000,4.3594,4.3751,0.6982,255,255,255
5250,4.3452,4.3624,0.7691,255,255,255
5500,4.3302,4.3491,0.8432,255,255,255
5750,4.3147,4.3353,0.9206,255,255,255
6000,4.2984,4.3209,1.0013,255,255,255
6250,4.2816,4.3059,1.0851,255,255,255
6500,4.264,4.2903,1.1722,255,255,255
6750,4.2459,4.2742,1.2625,255,255,255
7000,4.2271,4.2575,1.356,255,255,255
7250,4.2076,4.2402,1.4526,255,255,255
7500,4.1876,4.2224,1.5524,255,255,255
7750,4.1669,4.204,1.6552,255,255,255
8000,4.1456,4.185,1.7612,255,255,255
8250,4.1237,4.1655,1.8703,255,255,255
8500,4.1011,4.1455,1.9824,255,255,255
8750,4.078,4.1249,2.0976,255,255,255
9000,4.0542,4.1038,2.2158,255,255,255
9250,4.0298,4.0821,2.337,255,255,255
9500,4.0049,4.0599,2.4612,255,255,255
9750,3.9793,4.0372,2.5884,255,255,255
10000,3.9532,4.014,2.7185,255,255,255
10250,3.9264,3.9902,2.8516,255,255,255
10500,3.8991,3.9659,2.9875,255,255,255
10750,3.8712,3.9411,3.1264,255,255,255
11000,3.8427,3.9158,3.2682,255,255,255
11250,3.8137,3.89,3.4128,255,255,255
11500,3.7841,3.8637,3.5602,255,255,255
11750,3.7539,3.8368,3.7105,255,255,255
12000,3.7232,3.8095,3.8636,255,255,255
12250,3.6919,3.7817,4.0194,255,255,255
12500,3.66,3.7533,4.1781,255,255,255
12750,3.6276,3.7245,4.3395,255,255,255
13000,3.5947,3.6952,4.5036,255,255,255
13250,3.5612,3.6655,4.6704,255,255,255
13500,3.5272,3.6352,4.8399,255,255,255
13750,3.4926,3.6045,5.0121,255,255,255
14000,3.4576,3.5733,5.187,255,255,255
14250,3.4219,3.5416,5.3644,255,255,255
14500,3.3858,3.5095,5.5445,255,255,255
14750,3.3492,3.4769,5.7273,255,255,255
15000,3.312,3.4438,5.9125,255,255,255
15250,3.2743,3.4103,6.1004,255,255,255
15500,3.2361,3.3763,6.2908,255,255,255
15750,3.1975,3.3419,6.4837,255,255,255
16000,3.1583,3.3071,6.6791,255,255,255
16250,3.1186,3.2718,6.8771,255,255,255
16500,3.0784,3.2361,7.0775,255,255,255
16750,3.0378,3.1999,7.2803,255,255,255
17000,2.9966,3.1633,7.4856,255,255,255
17250,2.955,3.1263,7.6933,255,255,255
17500,2.9129,3.0888,7.9034,255,255,255
17750,2.8703,3.0509,8.1158,255,255,255
18000,2.8273,3.0126,8.3307,255,255,255
18250,2.7838,2.9739,8.5478,255,255,255
18500,2.7398,2.9348,8.7673,255,255,255
18750,2.6954,2.8953,8.9891,255,255,255
19000,2.6505,2.8554,9.2132,255,255,255
19250,2.6052,2.815,9.4395,255,255,255
19500,2.5594,2.7743,9.6681,255,255,255
19750,2.5132,2.7332,9.899,255,255,255
20000,2.4666,2.6917,10.132,255,255,255
20250,2.4195,2.6498,10.3672,255,255,255
20500,2.372,2.6075,10.6046,255,255,255
20750,2.3241,2.5648,10.8442,255,255,255
21000,2.2757,2.5218,11.0859,255,255,255
21250,2.2269,2.4784,11.3297,255,255,255
21500,2.1777,2.4346,11.5756,255,255,255
21750,2.1281,2.3905,11.8236,255,255,255
22000,2.0781,2.3459,12.0736,255,255,255
22250,2.0277,2.3011,12.3257,255,255,255
22500,1.9769,2.2558,12.5799,255,255,255
22750,1.9257,2.2103,12.836,255,255,255
23000,1.8741,2.1643,13.0941,255,255,255
23250,1.8221,2.1181,13.3542,255,255,255
23500,1.7697,2.0714,13.6163,255,255,255
23750,1.717,2.0245,13.8802,255,255,255
24000,1.6639,1.9772,14.1461,255,255,255
24250,1.6104,1.9295,14.4139,255,255,255
24500,1.5565,1.8816,14.6836,255,255,255
24750,1.5023,1.8333,14.9551,255,255,255
25000,1.4477,1.7847,15.2285,255,255,255
25250,1.3927,1.7358,15.5037,255,255,255
25500,1.3374,1.6865,15.7807,255,255,255
25750,1.2818,1.637,16.0594,255,255,255
26000,1.2258,1.5871,16.34,255,255,255
26250,1.1694,1.5369,16.6223,255,255,255
26500,1.1128,1.4864,16.9063,255,255,255
26750,1.0557,1.4357,17.192,255,255,255
27000,0.9984,1.3846,17.4794,255,255,255
27250,0.9407,1.3332,17.7685,255,255,255
27500,0.8827,1.2816,18.0593,255,255,255
27750,0.8244,1.2296,18.3516,255,255,255
28000,0.7658,1.1774,18.6456,255,255,255
28250,0.7069,1.1249,18.9412,255,255,255
28500,0.6476,1.0722,19.2384,255,255,255
28750,0.5881,1.0191,19.5372,255,255,255
29000,0.5283,0.9658,19.8374,255,255,255
29250,0.4681,0.9122,20.1393,255,255,255
29500,0.4077,0.8584,20.4426,255,255,255
29750,0.347,0.8043,20.7474,255,255,255
30000,0.286,0.7499,21.0537,255,255,255
30250,0.2247,0.6953,21.3614,255,255,255
30500,0.1631,0.6405,21.6705,255,255,255
30750,0.1013,0.5854,21.9811,255,255,255
31000,0.0392,0.53,22.2931,255,255,255
31250,-0.0232,0.4744,22.6064,255,255,255
31500,-0.0858,0.4186,22.9211,255,255,255
31750,-0.1487,0.3626,23.2372,255,255,255
32000,-0.2118,0.3063,23.5545,255,255,255
32250,-0.2752,0.2498,23.8732,255,255,255
32500,-0.3388,0.1931,24.1931,255,255,255
32750,-0.4027,0.1362,24.5144,255,255,255
33000,-0.4668,0.079,24.8368,255,255,255
33250,-0.5312,0.0217,25.1605,255,255,255
33500,-0.5957,-0.0359,25.4854,255,255,255
33750,-0.6606,-0.0937,25.8115,255,255,255
34000,-0.7256,-0.1517,26.1387,255,255,255
34250,-0.7909,-0.2099,26.4672,255,255,255
34500,-0.8565,-0.2683,26.7967,255,255,255
34750,-0.9222,-0.3269,27.1274,255,255,255
35000,-0.9882,-0.3858,27.4591,255,255,255
35250,-1.0544,-0.4448,27.792,255,255,255
35500,-1.1209,-0.504,28.1259,255,255,255
35750,-1.1875,-0.5634,28.4608,255,255,255
36000,-1.2544,-0.623,28.7968,255,255,255
36250,-1.3214,-0.6827,29.1338,255,255,255
36500,-1.3887,-0.7427,29.4717,255,255,255
36750,-1.4561,-0.8028,29.8106,255,255,255
37000,-1.5238,-0.8631,30.1505,255,255,255
37250,-1.5916,-0.9235,30.4913,255,255,255
37500,-1.6597,-0.9842,30.833,255,255,255
37750,-1.7279,-1.0449,31.1756,255,255,255
38000,-1.7963,-1.1059,31.5191,255,255,255
38250,-1.8649,-1.167,31.8635,255,255,255
38500,-1.9336,-1.2283,32.2086,255,255,255
38750,-2.0025,-1.2897,32.5546,255,255,255
39000,-2.0716,-1.3512,32.9014,255,255,255
39250,-2.1409,-1.4129,33.249,255,255,255
39500,-2.2103,-1.4747,33.5974,255,255,255
39750,-2.2798,-1.5367,33.9465,255,255,255
40000,-2.3495,-1.5988,34.2963,255,255,255
40250,-2.4194,-1.661,34.6468,255,255,255
40500,-2.4894,-1.7234,34.998,255,255,255
40750,-2.5595,-1.7859,35.3499,255,255,255
41000,-2.6298,-1.8485,35.7024,255,255,255
41250,-2.7002,-1.9112,36.0556,255,255,255
41500,-2.7707,-1.974,36.4094,255,255,255
41750,-2.8414,-2.037,36.7638,255,255,255
42000,-2.9122,-2.1,37.1187,255,255,255
42250,-2.9831,-2.1631,37.4742,255,255,255
42500,-3.0541,-2.2264,37.8303,255,255,255
42750,-3.1252,-2.2897,38.1869,255,255,255
43000,-3.1964,-2.3532,38.544,255,255,255
43250,-3.2677,-2.4167,38.9015,255,255,255
43500,-3.3391,-2.4803,39.2596,255,255,255
43750,-3.4106,-2.544,39.6181,255,255,255
44000,-3.4822,-2.6078,39.977,255,255,255
44250,-3.5539,-2.6716,40.3363,255,255,255
44500,-3.6257,-2.7355,40.696,255,255,255
44750,-3.6976,-2.7995,41.0561,255,255,255
45000,-3.7695,-2.8636,41.4166,255,255,255
45250,-3.8415,-2.9277,41.7774,255,255,255
45500,-3.9136,-2.9919,42.1385,255,255,255
45750,-3.9857,-3.0561,42.4999,255,255,255
46000,-4.0579,-3.1204,42.8616,255,255,255
46250,-4.1301,-3.1847,43.2235,255,255,255
46500,-4.2024,-3.2491,43.5857,255,255,255
46750,-4.2748,-3.3136,43.9481,255,255,255
47000,-4.3472,-3.378,44.3107,255,255,255
47250,-4.4196,-3.4425,44.6736,255,255,255
47500,-4.4921,-3.5071,45.0365,255,255,255
47750,-4.5646,-3.5716,45.3997,255,255,255
48000,-4.6372,-3.6362,45.7629,255,255,255
48250,-4.7097,-3.7008,46.1263,255,255,255
48500,-4.7823,-3.7655,46.4898,255,255,255
48750,-4.8549,-3.8301,46.8534,255,255,255
49000,-4.9275,-3.8948,47.217,255,255,255
49250,-5.0002,-3.9594,47.5806,255,255,255
49500,-5.0728,-4.0241,47.9443,255,255,255
49750,-5.1455,-4.0888,48.308,255,255,255
50000,-5.2181,-4.1535,48.6716,255,255,255
50250,-5.2908,-4.2182,49.0353,255,255,255
50500,-5.3634,-4.2828,49.3988,255,255,255
50750,-5.4361,-4.3475,49.7623,255,255,255
51000,-5.5087,-4.4122,50.1258,255,255,255
51250,-5.5813,-4.4768,50.4891,255,255,255
51500,-5.6538,-4.5414,50.8522,255,255,255
51750,-5.7264,-4.606,51.2153,255,255,255
52000,-5.7989,-4.6705,51.5781,255,255,255
52250,-5.8714,-4.7351,51.9408,255,255,255
52500,-5.9439,-4.7996,52.3033,255,255,255
52750,-6.0163,-4.864,52.6656,255,255,255
53000,-6.0886,-4.9284,53.0276,255,255,255
53250,-6.1609,-4.9928,53.3894,255,255,255
53500,-6.2332,-5.0571,53.7509,255,255,255
53750,-6.3054,-5.1214,54.1121,255,255,255
54000,-6.3776,-5.1857,54.473,255,255,255
54250,-6.4497,-5.2498,54.8335,255,255,255
54500,-6.5217,-5.3139,55.1937,255,255,255
54750,-6.5936,-5.378,55.5536,255,255,255
55000,-6.6655,-5.4419,55.913,255,255,255
55250,-6.7373,-5.5059,56.2721,255,255,255
