Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-2.5,-5,0,6,255,4
250,-2.5,-5,0.0095,6,255,4
500,-2.5,-5,0.0457,6,255,4
750,-2.5,-5,0.1084,6,255,4
1000,-2.5,-5,0.1967,6,255,4
1250,-2.5,-5,0.3101,6,255,4
1500,-2.5,-5,0.4478,6,255,4
1750,-2.5,-5,0.6093,6,255,4
2000,-2.5,-5,0.7936,6,255,4
2250,-2.5,-5,1.0003,6,255,4
2500,-2.5,-5,1.2286,6,255,4
2750,-2.5,-5,1.4778,6,255,4
3000,-2.5,-5,1.7472,6,255,4
3250,-2.5,-5,2.0361,6,255,4
3500,-2.5,-5,2.344,6,255,4
3750,-2.5,-5,2.6699,6,255,4
4000,-2.5,-5,3.0134,6,255,4
4250,-2.5,-5,3.3737,6,255,4
4500,-2.5,-5,3.75,6,255,4
4750,-2.5,-5,4.1418,6,255,4
5000,-2.5,-5,4.5483,6,255,4
5250,-2.5,-5,4.9688,6,255,4
5500,-2.5,-5,5.4023,6,255,4
5750,-2.5,-5,5.8483,6,255,4
6000,-2.5,-5,6.306,6,255,4
6250,-2.5,-5,6.7748,6,255,4
6500,-2.5,-5,7.254,6,255,4
6750,-2.5,-5,7.743,6,255,4
7000,-2.5,-5,8.241,6,255,4
7250,-2.5,-5,8.7474,6,255,4
7500,-2.5,-5,9.2615,6,255,4
7750,-2.5,-5,9.7827,6,255,4
8000,-2.5,-5,10.3102,6,255,4
8250,-2.5,-5,10.8435,6,255,4
8500,-2.5,-5,11.3818,6,255,4
8750,-2.5,-5,11.9245,6,255,4
9000,-2.5,-5,12.4708,6,255,4
9250,-2.5,-5,13.0202,6,255,4
9500,-2.5,-5,13.572,6,255,4
9750,-2.5,-5,14.1254,6,255,4
10000,-2.5,-5,14.6798,6,255,4
10250,-2.5,-5,15.2346,6,255,4
10500,-2.5,-5,15.789,6,255,4
10750,-2.5,-5,16.3424,6,255,4
11000,-2.5,-5,16.8942,6,255,4
11250,-2.5,-5,17.4436,6,255,4
11500,-2.5,-5,17.99,6,255,4
11750,-2.5,-5,18.5327,6,255,4
12000,-2.5,-5,19.0711,6,255,4
12250,-2.5,-5,19.6044,6,255,4
12500,-2.5,-5,20.1321,6,255,4
12750,-2.5,-5,20.6533,6,255,4
13000,-2.5,-5,21.1675,6,255,4
13250,-2.5,-5,21.674,6,255,4
13500,-2.5,-5,22.1721,6,255,4
13750,-2.5,-5,22.6612,6,255,4
14000,-2.5,-5,23.1405,6,255,4
14250,-2.5,-5,23.6095,6,255,4
14500,-2.5,-5,24.0673,6,255,4
14750,-2.5,-5,24.5135,6,255,4
15000,-2.5,-5,24.9472,6,255,4
15250,-2.5,-5,25.3678,6,255,4
15500,-2.5,-5,25.7747,6,255,4
15750,-2.5,-5,26.1671,6,255,4
16000,-2.5,-5,26.5445,6,255,4
16250,-2.5,-5,26.9061,6,255,4
16500,-2.5,-5,27.2512,6,255,4
16750,-2.5,-5,27.5793,6,255,4
17000,-2.5,-5,27.8895,6,255,4
17250,-2.5,-5,28.1813,6,255,4
17500,-2.5,-5,28.454,6,255,4
17750,-2.5,-5,28.7069,6,255,4
18000,-2.5,-5,28.9394,6,255,4
18250,-2.5,-5,29.1507,6,255,4
18500,-2.5,-5,29.3402,6,255,4
18750,-2.5,-5,29.5072,182,48,213
19000,-2.5,-5,29.651,218,6,255
19250,-2.5,-5,29.7711,218,6,255
19500,-2.5,-5,29.8666,218,6,255
19750,-2.5,-5,29.937,218,6,255
20000,-2.5,-5,29.9816,218,6,255
20250,-2.5,-5,29.9996,218,6,255
20500,-2.5,-5,30,218,6,255
20750,-2.5,-5,30,218,6,255
21000,-2.5,-5,30,218,6,255
21250,-2.5,-5,30,218,6,255
21500,-2.5,-5,30,218,6,255
21750,-2.5,-5,30,218,6,255
22000,-2.5,-5,30,218,6,255
22250,-2.5,-5,30,218,6,255
22500,-2.5,-5,30,218,6,255
22750,-2.5,-5,30,218,6,255
23000,-2.5,-5,30,218,6,255
23250,-2.5,-5,30,218,6,255
23500,-2.5,-5,30,218,6,255
23750,-2.5,-5,30,218,6,255
24000,-2.5,-5,30,218,6,255
24250,-2.5,-5,30,218,6,255
24500,-2.5,-5,30,218,6,255
24750,-2.5,-5,30,218,6,255
25000,-2.5,-5,30,218,6,255
25250,-2.5,-5,30,218,6,255
25500,-2.5,-5,30,218,6,255
25750,-2.5,-5,30,218,6,255
26000,-2.5003,-5,30,218,6,255
26250,-2.5011,-5,30,218,6,255
26500,-2.5021,-5,30,218,6,255
26750,-2.503,-5,30,218,6,255
27000,-2.5033,-5,30,218,6,255
27250,-2.5028,-5,30,218,6,255
27500,-2.5011,-5,30,218,6,255
27750,-2.4978,-5,30,218,6,255
28000,-2.4926,-5,30,218,6,255
28250,-2.4851,-5,30,218,6,255
28500,-2.4749,-5,30,218,6,255
28750,-2.4618,-5,30,218,6,255
29000,-2.4452,-5,30,218,6,255
29250,-2.425,-5,30,218,6,255
29500,-2.4007,-5,30,218,6,255
29750,-2.3719,-5,30,218,6,255
30000,-2.3384,-5,30,218,6,255
30250,-2.2997,-5,30,218,6,255
30500,-2.2555,-5,30,218,6,255
30750,-2.2055,-5,30,218,6,255
31000,-2.1492,-5,30,218,6,255
31250,-2.0864,-5,30,218,6,255
31500,-2.0166,-5,30,218,6,255
31750,-1.9396,-5,30,218,6,255
32000,-1.8549,-5,30,218,6,255
32250,-1.7622,-5,30,218,6,255
32500,-1.6612,-5,30,218,6,255
32750,-1.5514,-5,30,218,6,255
33000,-1.4326,-5,30,218,6,255
33250,-1.3043,-5,30,218,6,255
33500,-1.1663,-5,30,218,6,255
33750,-1.0182,-5,30,218,6,255
34000,-0.8595,-5,30,218,6,255
34250,-0.69,-5,30,218,6,255
34500,-0.5092,-5,30,218,6,255
34750,-0.317,-5,30,218,6,255
35000,-0.1127,-5,30,218,6,255
35250,0.1038,-5,30,218,6,255
35500,0.3329,-5,30,218,6,255
35750,0.575,-5,30,218,6,255
36000,0.8305,-5,30,218,6,255
36250,1.0997,-5,30,218,6,255
36500,1.3829,-5,30,218,6,255
36750,1.6806,-5,30,218,6,255
37000,1.993,-5,30,218,6,255
37250,2.3211,-5,30,218,6,255
37500,2.666,-5,30,218,6,255
37750,3.0277,-5,30,218,6,255
38000,3.4062,-5,30,218,6,255
38250,3.8016,-5,30,218,6,255
38500,4.214,-5,30,218,6,255
38750,4.6433,-5,30,218,6,255
39000,5.0896,-5,30,218,6,255
39250,5.5529,-5,30,218,6,255
39500,6.0333,-5,30,218,6,255
39750,6.5307,-5,30,218,6,255
40000,7.0454,-5,30,218,6,255
40250,7.5771,-5,30,218,6,255
40500,8.1261,-5,30,218,6,255
40750,8.6923,-5,30,218,6,255
41000,9.2757,-5,30,218,6,255
41250,9.8765,-5,30,218,6,255
41500,10.4946,-5,30,218,6,255
41750,11.13,-5,30,218,6,255
42000,11.7829,-5,30,218,6,255
42250,12.4532,-5,30,218,6,255
42500,13.141,-5,30,218,6,255
42750,13.8462,-5,30,218,6,255
43000,14.569,-5,30,218,6,255
43250,15.3094,-5,30,218,6,255
43500,16.0674,-5,30,218,6,255
43750,16.843,-5,30,218,6,255
44000,17.6363,-5,30,218,6,255
44250,18.4473,-5,30,218,6,255
44500,19.276,-5,30,218,6,255
44750,20.1225,-5,30,218,6,255
45000,20.9868,-5,30,218,6,255
45250,21.869,-5,30,218,6,255
45500,22.769,-5,30,218,6,255
45750,23.6868,-5,30,218,6,255
46000,24.6215,-5,30,218,6,255
46250,25.5728,-5,30,218,6,255
46500,26.5399,-5,30,218,6,255
46750,27.5225,-5,30,218,6,255
47000,28.5199,-5,30,218,6,255
47250,29.5317,-5,30,218,6,255
47500,30.5573,-5,30,218,6,255
47750,31.5961,-5,30,218,6,255
48000,32.6476,-5,30,218,6,255
48250,33.7114,-5,30,218,6,255
48500,34.7868,-5,30,218,6,255
48750,35.8733,-5,30,218,6,255
49000,36.9704,-5,30,218,6,255
49250,38.0775,-5,30,218,6,255
49500,39.1942,-5,30,218,6,255
49750,40.3198,-5,30,218,6,255
50000,41.4539,-5,30,218,6,255
50250,42.5959,-5,30,218,6,255
50500,43.7452,-5,30,218,6,255
50750,44.9014,-5,30,249,3,49
51000,46.0639,-5,30,255,2,7
51250,47.2321,-5,30,255,2,7
51500,48.4056,-5,30,255,2,7
51750,49.5838,-5,30,255,2,7
52000,50.7661,-5,30,255,2,7
52250,51.952,-5,30,255,2,7
52500,53.141,-5,30,255,2,7
52750,54.3326,-5,30,255,2,7
53000,55.526,-5,30,255,2,7
53250,56.7199,-5,30,255,2,7
53500,57.9136,-5,30,255,2,7
53750,59.1061,-5,30,255,2,7
54000,60.2965,-5,30,255,2,7
54250,61.4839,-5,30,255,2,7
54500,62.6675,-5,30,255,2,7
54750,63.8462,-5,30,255,2,7
55000,65.0193,-5,30,255,2,7
55250,66.1857,-5,30,255,2,7
55500,67.3447,-5,30,255,2,7
55750,68.4953,-5,30,255,2,7
56000,69.6366,-5,30,255,2,7
56250,70.7677,-5,30,255,2,7
56500,71.8877,-5,30,255,2,7
56750,72.9957,-5,30,255,2,7
57000,74.0908,-5,30,255,2,7
57250,75.1722,-5,30,255,2,7
57500,76.2388,-5,30,255,2,7
57750,77.2899,-5,30,255,2,7
58000,78.3245,-5,30,255,2,7
58250,79.3417,-5,30,255,2,7
58500,80.3406,-5,30,255,2,7
58750,81.3203,-5,30,255,2,7
59000,82.2799,-5,30,255,2,7
59250,83.2185,-5,30,255,2,7
59500,84.1352,-5,30,255,2,7
59750,85.0292,-5,30,255,2,7
60000,85.8994,-5,30,255,2,7
60250,86.7451,-5,30,255,2,7
60500,87.5652,-5,30,255,2,7
60750,88.359,-5,30,45,212,1
61000,89.1255,-5,30,2,255,0
61250,89.8638,-5,30,2,255,0
61500,90.5729,-5,30,2,255,0
61750,91.2518,-5,30,2,255,0
62000,91.8998,-5,30,2,255,0
62250,92.5159,-5,30,2,255,0
62500,93.0995,-5,30,2,255,0
62750,93.6497,-5,30,2,255,0
63000,94.1656,-5,30,2,255,0
63250,94.6466,-5,30,2,255,0
63500,95.0918,-5,30,2,255,0
63750,95.5004,-5,30,2,255,0
64000,95.8716,-5,30,2,255,0
64250,96.2045,-5,30,2,255,0
64500,96.4985,-5,30,2,255,0
64750,96.7503,-5,30,2,255,0
65000,96.9576,-5,30,2,255,0
65250,97.1242,-5,30,2,255,0
65500,97.2543,-5,30,2,255,0
65750,97.352,-5,30,2,255,0
66000,97.4213,-5,30,2,255,0
66250,97.4664,-5,30,2,255,0
66500,97.4912,-5,30,2,255,0
66750,97.4998,-5,30,2,255,0
67000,97.5,-5,30,2,255,0
67250,97.5,-5,30,2,255,0
67500,97.5,-5,30,2,255,0
67750,97.5,-5,30,2,255,0
68000,97.5,-5,30,2,255,0
68250,97.5,-5,30,2,255,0
68500,97.5,-5,30,2,255,0
68750,97.5,-5,30,2,255,0
69000,97.5,-5,30,2,255,0
69250,97.5,-5,30,2,255,0
69500,97.5,-5,30,2,255,0
69750,97.5,-5,30,2,255,0
70000,97.5,-5,30,2,255,0
70250,97.5,-5,30,2,255,0
70500,97.5,-5,30,2,255,0
70750,97.5,-5,30,2,255,0
71000,97.5007,-4.9986,30.002,2,255,0
71250,97.5033,-4.9934,30.0098,2,255,0
71500,97.5078,-4.9845,30.0233,0,43,0
71750,97.5141,-4.9718,30.0424,0,0,0
72000,97.5223,-4.9554,30.0668,0,0,0
72250,97.5322,-4.9356,30.0966,0,0,0
72500,97.5438,-4.9123,30.1315,0,0,0
72750,97.5571,-4.8857,30.1714,0,0,0
73000,97.5721,-4.8559,30.2162,0,0,0
73250,97.5886,-4.8229,30.2657,0,0,0
73500,97.6066,-4.7868,30.3198,0,0,0
73750,97.6261,-4.7477,30.3784,0,0,0
74000,97.6471,-4.7058,30.4413,0,0,0
74250,97.6695,-4.661,30.5085,0,0,0
74500,97.6932,-4.6136,30.5796,0,0,0
74750,97.7182,-4.5635,30.6547,0,0,0
75000,97.7445,-4.511,30.7336,0,0,0
75250,97.772,-4.4559,30.8161,0,0,0
75500,97.8007,-4.3986,30.9021,0,0,0
75750,97.8305,-4.339,30.9915,0,0,0
76000,97.8614,-4.2773,31.0841,0,0,0
76250,97.8933,-4.2134,31.1798,0,0,0
76500,97.9262,-4.1477,31.2785,0,0,0
76750,97.96,-4.08,31.38,0,0,0
