Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-4.5,13.5,0,255,255,255
250,-4.4996,13.4905,0.0203,255,255,255
500,-4.4979,13.4548,0.0968,255,255,255
750,-4.4951,13.3942,0.2267,255,255,255
1000,-4.4912,13.3101,0.4068,255,255,255
1250,-4.4863,13.2042,0.6338,255,255,255
1500,-4.4805,13.078,0.9042,255,255,255
1750,-4.4738,12.9331,1.2146,255,255,255
2000,-4.4663,12.771,1.5618,255,255,255
2250,-4.458,12.5934,1.9423,255,255,255
2500,-4.4491,12.4017,2.3528,255,255,255
2750,-4.4396,12.1976,2.7899,255,255,255
3000,-4.4296,11.9827,3.2502,255,255,255
3250,-4.4191,11.7584,3.7304,255,255,255
3500,-4.4082,11.5264,4.2272,255,255,255
3750,-4.3971,11.2882,4.737,255,255,255
4000,-4.3857,11.0455,5.2567,255,255,255
4250,-4.3741,10.7997,5.7827,255,255,255
4500,-4.3624,10.5525,6.3118,255,255,255
4750,-4.3507,10.3053,6.8406,255,255,255
5000,-4.339,10.0599,7.3656,255,255,255
5250,-4.3275,9.8177,7.8836,255,255,255
5500,-4.3161,9.5803,8.3912,255,255,255
5750,-4.305,9.3493,8.885,255,255,255
6000,-4.2942,9.1262,9.3616,255,255,255
6250,-4.2838,8.9127,9.8177,255,255,255
6500,-4.2739,8.7103,10.2499,255,255,255
6750,-4.2645,8.5205,10.6549,255,255,255
7000,-4.2556,8.341,11.038,255,255,255
7250,-4.2472,8.1652,11.414,255,255,255
7500,-4.2391,7.9929,11.7831,255,255,255
7750,-4.2314,7.8241,12.1452,255,255,255
8000,-4.2242,7.6591,12.5003,255,255,255
8250,-4.2173,7.4977,12.8481,255,255,255
8500,-4.2109,7.3401,13.1887,255,255,255
8750,-4.2049,7.1862,13.5219,255,255,255
9000,-4.1993,7.0362,13.8477,255,255,255
9250,-4.1941,6.8902,14.1658,255,255,255
9500,-4.1894,6.7481,14.4763,255,255,255
9750,-4.1851,6.6099,14.779,255,255,255
10000,-4.1812,6.4759,15.0738,255,255,255
10250,-4.1778,6.3459,15.3606,255,255,255
10500,-4.1748,6.2201,15.6393,255,255,255
10750,-4.1723,6.0985,15.9098,255,255,255
11000,-4.1702,5.9812,16.1721,255,255,255
11250,-4.1686,5.8682,16.426,255,255,255
11500,-4.1675,5.7595,16.6714,255,255,255
11750,-4.1668,5.6553,16.9082,255,255,255
12000,-4.1666,5.5555,17.1363,255,255,255
12250,-4.1668,5.4603,17.3557,255,255,255
12500,-4.1675,5.3696,17.5661,255,255,255
12750,-4.1687,5.2835,17.7676,255,255,255
13000,-4.1704,5.2021,17.9599,255,255,255
13250,-4.1726,5.1254,18.1431,255,255,255
13500,-4.1753,5.0534,18.3171,255,255,255
13750,-4.1785,4.986,18.4823,255,255,255
14000,-4.1822,4.923,18.6388,255,255,255
14250,-4.1865,4.8643,18.787,255,255,255
14500,-4.1912,4.8096,18.9271,255,255,255
14750,-4.1964,4.7591,19.0594,255,255,255
15000,-4.2021,4.7123,19.1841,255,255,255
15250,-4.2082,4.6694,19.3015,255,255,255
15500,-4.2147,4.63,19.4118,255,255,255
15750,-4.2216,4.5942,19.5152,255,255,255
16000,-4.2289,4.5617,19.6122,255,255,255
16250,-4.2365,4.5324,19.7028,255,255,255
16500,-4.2445,4.5062,19.7874,255,255,255
16750,-4.2528,4.4829,19.8662,255,255,255
17000,-4.2614,4.4625,19.9394,255,255,255
17250,-4.2703,4.4447,20.0074,255,255,255
17500,-4.2795,4.4295,20.0704,255,255,255
17750,-4.2889,4.4168,20.1286,255,255,255
