hw_id,pos_id,x,y,ip,mavlink_port,debug_port,gcs_ip
1,1,-4.5,0.0,172.22.141.34,14541,13541,172.22.128.1
2,2,-1.5,0.0,172.22.141.34,14542,13542,172.22.128.1
3,3,1.5,0.0,172.22.141.34,14543,13543,172.22.128.1
4,4,4.5,0.0,172.22.141.34,14544,13544,172.22.128.1
