idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-1.5,-1.5,0.0,0.0006052074600369668,-0.0005079750752833866,0.0022148596576576363,-0.01766248952044068,-0.0011042990965985672,-0.05617831589189163,0,70,255.0,255.0,255.0
1,0.05,-1.4999918125314387,-1.5000270871027102,4.053494767567491e-05,-0.00027760456838287194,-0.0005816685346303195,-0.0005931645574774871,-0.01764999161635287,-0.0018434392772787482,-0.056142652713513305,0,70,255.0,255.0,255.0
2,0.1,-1.5000277500419181,-1.5000587828036136,-5.928673643243347e-05,-0.00115979170159832,-0.0006923190030112615,-0.0033994056136936943,-0.017637493712265053,-0.0025825794579589292,-0.05610698953513498,0,70,255.0,255.0,255.0
3,0.15000000000000002,-1.5001077812866783,-1.5000969349531619,-0.00029937589437837935,-0.002041353939609378,-0.0008399264804262125,-0.006203863510990987,-0.01762499580817724,-0.0033217196386391102,-0.05607132635675665,0,70,255.0,255.0,255.0
4,0.2,-1.5002318750209591,-1.5001433914018067,-0.0006796433682162168,-0.002922291282416044,-0.0010244909668751725,-0.00900653824936936,-0.017612497904089426,-0.004060859819319291,-0.056035663178378325,0,70,255.0,255.0,255.0
5,0.25,-1.5004,-1.5002,-0.0012,-0.00380260373001832,-0.0012460124623581415,-0.011807429828828818,-0.017600000000001614,-0.004799999999999473,-0.056000000000000036,0,70,255.0,255.0,255.0
6,0.30000000000000004,-1.5006121249790407,-1.500268608598193,-0.0018603566317837838,-0.004682291282416206,-0.00150449096687512,-0.014606538249369362,-0.017587502095913803,-0.005539140180679653,-0.05596433682162169,0,70,255.0,255.0,255.0
7,0.35000000000000003,-1.5008682187133215,-1.5003510650468381,-0.002660624105621621,-0.0055613539396097015,-0.001799926480426107,-0.017403863510990988,-0.017575004191825987,-0.006278280361359833,-0.05592867364324335,0,70,255.0,255.0,255.0
8,0.4,-1.5011682499580816,-1.5004492171963864,-0.0036007132635675673,-0.0064397917015988045,-0.002132319003011103,-0.020199405613693697,-0.017562506287738176,-0.007017420542040013,-0.05589301046486501,0,70,255.0,255.0,255.0
9,0.45,-1.5015121874685615,-1.5005649128972898,-0.004680534947675676,-0.007317604568383518,-0.0025016685346301083,-0.02299316455747749,-0.01755000838365036,-0.007756560722720192,-0.05585734728648667,0,70,255.0,255.0,255.0
10,0.5,-1.5019,-1.5007,-0.0059,-0.00819479253996384,-0.0029079750752831223,-0.025785140342342364,-0.017537510479562562,-0.00849570090340036,-0.055821684108108366,0,70,255.0,255.0,255.0
11,0.55,-1.5023316875523978,-1.5008560785045169,-0.007259108420540544,-0.00907323030195284,-0.0033363675978682144,-0.028580682445045077,-0.017599999999997357,-0.008640000000003305,-0.05599999999999998,0,70,255.0,255.0,255.0
12,0.6000000000000001,-1.5028073751047957,-1.501033757009034,-0.008758216841081086,-0.009954792539963578,-0.0037719750752834534,-0.03138514034234236,-0.017662489520432152,-0.008784299096606251,-0.05617831589189159,0,70,255.0,255.0,255.0
13,0.65,-1.5033272188809947,-1.5012333962612925,-0.010397771051351354,-0.010839479253996054,-0.0042147975075288386,-0.03419851403423423,-0.017724979040866944,-0.008928598193209196,-0.0563566317837832,0,70,255.0,255.0,255.0
14,0.7000000000000001,-1.5038913751047955,-1.501455357009034,-0.012178216841081085,-0.011727290444050272,-0.004664834894604374,-0.03702080352072069,-0.01778746856130174,-0.009072897289812143,-0.05653494767567481,0,70,255.0,255.0,255.0
15,0.75,-1.5045,-1.5017,-0.0141,-0.012618226110126229,-0.005122087236510053,-0.03985200880180172,-0.017849958081736575,-0.00921719638641507,-0.056713263567566397,0,70,255.0,255.0,255.0
16,0.8,-1.5051531248113679,-1.5019670773837388,-0.01616320968605405,-0.01350478750977188,-0.005550038641653402,-0.042670731970450335,-0.017612497904089433,-0.007900859819318864,-0.056035663178378325,0,70,255.0,255.0,255.0
17,0.8500000000000001,-1.5058502808674956,-1.5022539069170262,-0.018366508530054046,-0.014379475900535173,-0.0059121732184419405,-0.04545557511963955,-0.01737503772644229,-0.0065845232522226595,-0.055358062789190254,0,70,255.0,255.0,255.0
18,0.9,-1.50659087451794,-1.502557197758444,-0.020708202531027012,-0.015242291282416108,-0.006208490966875668,-0.04820653824936936,-0.01713757754879515,-0.005268186685126456,-0.05468046240000218,0,70,255.0,255.0,255.0
19,0.9500000000000001,-1.507374312112256,-1.5028736590665743,-0.023186597687999994,-0.01609323365541469,-0.006438991886954585,-0.05092362135963977,-0.016900117371148007,-0.00395185011803025,-0.05400286201081411,0,70,255.0,255.0,255.0
20,1.0,-1.5082,-1.5032,-0.0258,-0.016932303019530907,-0.006603675978678692,-0.053606824450450764,-0.01666265719350074,-0.0026355135509340405,-0.05332526162162582,0,70,255.0,255.0,255.0
21,1.05,-1.5090678132021311,-1.5035340119605276,-0.028547252835243266,-0.017787619658959683,-0.006767477835519845,-0.05628838967315358,-0.01755000838365032,-0.003916560722712091,-0.05393734728648664,0,70,255.0,255.0,255.0
22,1.1,-1.5099795014252209,-1.503877815322862,-0.031429349038702745,-0.01868730385789594,-0.006995332050949901,-0.05900055917909943,-0.018437359573799897,-0.005197607894490142,-0.054549432951347454,0,70,255.0,255.0,255.0
23,1.1500000000000001,-1.5109372830472458,-1.5042346127049324,-0.0344478188245406,-0.019631355616339673,-0.00728723862496886,-0.06174333296828833,-0.019324710763949475,-0.006478655066268191,-0.05516151861620827,0,70,255.0,255.0,255.0
24,1.2000000000000002,-1.5119433764461803,-1.5046076067246685,-0.03760419240691897,-0.02061977493429089,-0.007643197557576721,-0.06451671104072026,-0.02021206195409905,-0.007759702238046242,-0.05577360428106909,0,70,255.0,255.0,255.0
25,1.25,-1.513,-1.505,-0.0409,-0.021652561811749575,-0.008063208848773483,-0.06732069339639524,-0.021099413144248652,-0.009040749409824286,-0.056385689945930295,0,70,255.0,255.0,255.0
26,1.3,-1.5141084223801082,-1.505414474774151,-0.044336578972972905,-0.02267273385438833,-0.008516050016264607,-0.07014370933693537,-0.019707468561301605,-0.00907289728982066,-0.05653494767567495,0,70,255.0,255.0,255.0
27,1.35,-1.5152661134316197,-1.5058516317915265,-0.047914495315134996,-0.023623308667879737,-0.008970498577755549,-0.07297418816396273,-0.018315523978354557,-0.009105045169817036,-0.05668420540541961,0,70,255.0,255.0,255.0
28,1.4000000000000001,-1.516469593293077,-1.5063115514218264,-0.05163412217081064,-0.02450428625222379,-0.009426554533246312,-0.07581212987747733,-0.016923579395407506,-0.00913719304981341,-0.05683346313516426,0,70,255.0,255.0,255.0
29,1.4500000000000002,-1.5177153821030227,-1.506794314034751,-0.05549583268432419,-0.02531566660742049,-0.009884217882736891,-0.07865753447747917,-0.015531634812460459,-0.009169340929809786,-0.05698272086490892,0,70,255.0,255.0,255.0
30,1.5,-1.519,-1.5073,-0.0595,-0.026057449733469837,-0.010343488626227288,-0.08151040196396822,-0.01413969022951339,-0.00920148880980616,-0.0571319785946538,0,70,255.0,255.0,255.0
31,1.55,-1.520320897277436,-1.5078280889428688,-0.06364643127286512,-0.026785444923486484,-0.010768322099423189,-0.08433677297910493,-0.014980117371152391,-0.007791850118029821,-0.05592286201081422,0,70,255.0,255.0,255.0
32,1.6,-1.5216792448482999,-1.5083756575110325,-0.0679326697007573,-0.027555461470585078,-0.011122673638030272,-0.08710268816504965,-0.01582054451279139,-0.006382211426253481,-0.054713745426974644,0,70,255.0,255.0,255.0
33,1.6500000000000001,-1.523077143780446,-1.508939181607762,-0.0723556924922169,-0.028367499374765622,-0.011406543242048536,-0.08980814752180238,-0.016660971654430392,-0.004972572734477142,-0.05350462884313507,0,70,255.0,255.0,255.0
34,1.7000000000000002,-1.5245166951417277,-1.5095151371363278,-0.07691247685578434,-0.029221558636028117,-0.011619930911477986,-0.09245315104936316,-0.017501398796069392,-0.0035629340427008023,-0.05229551225929549,0,70,255.0,255.0,255.0
35,1.75,-1.526,-1.5101,-0.0816,-0.03011763925437256,-0.011762836646318619,-0.09503769874773194,-0.018341825937708556,-0.0021532953509244557,-0.051086395675455254,0,70,255.0,255.0,255.0
36,1.8,-1.5275287885101476,-1.510691569454374,-0.0864160959355666,-0.03103348645166765,-0.01191466158604279,-0.09761319874664504,-0.01829206195409506,-0.003919702238042385,-0.051933604281068656,0,70,255.0,255.0,255.0
37,1.85,-1.5291033071751805,-1.5112929381643434,-0.09136202588183587,-0.03194684544978207,-0.012154806870122858,-0.10023105917583881,-0.018242297970481568,-0.0056861091251603135,-0.052780812886682064,0,70,255.0,255.0,255.0
38,1.9000000000000001,-1.5307234315851397,-1.5119085221471256,-0.09643990786032183,-0.03285771624871581,-0.012483272498558823,-0.10289128003531324,-0.018192533986868077,-0.007452516012278242,-0.053628021492295466,0,70,255.0,255.0,255.0
39,1.9500000000000002,-1.5323890373300655,-1.5125427374199387,-0.10165185989253853,-0.03376609884846888,-0.012900058471350681,-0.10559386132506836,-0.018142770003254583,-0.009218922899396171,-0.05447523009790887,0,70,255.0,255.0,255.0
40,2.0,-1.5341,-1.5132,-0.107,-0.03467199324904127,-0.013405164788498437,-0.10833880304510411,-0.018093006019641367,-0.010985329786514064,-0.05532243870352149,0,70,255.0,255.0,255.0
41,2.0500000000000003,-1.5358559486819736,-1.5138832332396344,-0.11248598498486855,-0.03556060926984371,-0.013909031556406536,-0.11109843203431488,-0.017451634812456037,-0.009169340929809767,-0.05506272086490897,0,70,255.0,255.0,255.0
42,2.1,-1.5376555264509781,-1.5145893898315934,-0.11810962677189933,-0.03641715673028688,-0.014322098881479416,-0.11384507513159502,-0.016810263605270714,-0.0073533520731054874,-0.05480300302629646,0,70,255.0,255.0,255.0
43,2.15,-1.5394971298789963,-1.515313929803735,-0.12387027606649584,-0.03724163563037078,-0.014644366763717082,-0.11657873233694452,-0.016168892398085388,-0.005537363216401207,-0.05454328518768394,0,70,255.0,255.0,255.0
44,2.2,-1.5413791555380094,-1.5160523131839179,-0.12976728357406161,-0.038034045970095416,-0.014875835203119536,-0.1192994036503634,-0.01552752119090006,-0.00372137435969691,-0.05428356734907142,0,70,255.0,255.0,255.0
45,2.25,-1.5433,-1.5168,-0.1358,-0.03879438774946079,-0.015016504199686774,-0.12200708907185168,-0.014886149983714903,-0.0019053855029926847,-0.05402384951045902,0,70,255.0,255.0,255.0
46,2.3000000000000003,-1.5452586167619577,-1.517553897587088,-0.14196796412495935,-0.03955607646895562,-0.015153212188329112,-0.12471307311609556,-0.015581398796078175,-0.003562934042700847,-0.05421551225929568,0,70,255.0,255.0,255.0
