idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-1.5,1.5,0.0,-1.2028463272772774e-34,-1.6441629562453963e-34,0.021098563193584274,1.443415592732733e-33,1.9729955474944754e-33,-0.5843827583230113,0,70,255.0,255.0,255.0
1,0.05,-1.5,1.5,0.0003259482749690337,-5.533093105475475e-35,-7.563149598728824e-35,-0.008030660930951236,1.1547324741861864e-33,1.5783964379955802e-33,-0.5807862066584091,0,70,255.0,255.0,255.0
2,0.1,-1.5,1.5,-0.0008000689667079554,-4.811385309109107e-36,-6.576651824981613e-36,-0.03698005747225663,8.660493556396398e-34,1.1837973284966853e-33,-0.5771896549938067,0,70,255.0,255.0,255.0
3,0.15000000000000002,-1.5,1.5,-0.003369060345869462,3.127400450920925e-35,4.2748236862380317e-35,-0.06574962643033193,5.77366237093093e-34,7.8919821899779e-34,-0.5735931033292044,0,70,255.0,255.0,255.0
4,0.2,-1.5,1.5,-0.00737203448335398,5.29252384002002e-35,7.234317007479738e-35,-0.09433936780517707,2.886831185465466e-34,3.9459910949889514e-34,-0.5699965516646021,0,70,255.0,255.0,255.0
5,0.25,-1.5,1.5,-0.0128,6.014231636386387e-35,8.220814781226981e-35,-0.12274928159679213,0.0,0.0,-0.5663999999999993,0,70,255.0,255.0,255.0
6,0.30000000000000004,-1.5,1.5,-0.019643965516646027,5.292523840020019e-35,7.234317007479742e-35,-0.15097936780517707,-2.8868311854654685e-34,-3.945991094988954e-34,-0.5628034483353975,0,70,255.0,255.0,255.0
7,0.35000000000000003,-1.5,1.5,-0.027894939654130542,3.127400450920919e-35,4.274823686238028e-35,-0.17902962643033188,-5.773662370930934e-34,-7.891982189977905e-34,-0.5592068966707957,0,70,255.0,255.0,255.0
8,0.4,-1.5,1.5,-0.037543931033292045,-4.8113853091091285e-36,-6.576651824981597e-36,-0.20690005747225662,-8.6604935563964e-34,-1.1837973284966854e-33,-0.5556103450061938,0,70,255.0,255.0,255.0
9,0.45,-1.5,1.5,-0.04858194827496904,-5.533093105475479e-35,-7.563149598728824e-35,-0.23459066093095127,-1.1547324741861864e-33,-1.5783964379955802e-33,-0.552013793341592,0,70,255.0,255.0,255.0
10,0.5,-1.5,1.5,-0.061,-1.2028463272772774e-34,-1.6441629562453963e-34,-0.2621014368064158,-1.4434155927327328e-33,-1.972995547494475e-33,-0.5484172416769906,0,70,255.0,255.0,255.0
11,0.55,-1.5,1.5,-0.07478768620838497,-1.5637002254604607e-34,-2.137411843119015e-34,-0.28934786784834055,1.3684555315672042e-48,2.0526832973508063e-48,-0.5414400000000007,0,70,255.0,255.0,255.0
12,0.6000000000000001,-1.5,1.5,-0.08992897241676992,-1.2028463272772761e-34,-1.6441629562453942e-34,-0.3162454368064159,1.4434155927327356e-33,1.972995547494479e-33,-0.5344627583230107,0,70,255.0,255.0,255.0
13,0.65,-1.5,1.5,-0.10640641552096237,-1.2028463272772704e-35,-1.6441629562453865e-35,-0.34279414368064165,2.886831185465466e-33,3.945991094988952e-33,-0.5274855166460208,0,70,255.0,255.0,255.0
14,0.7000000000000001,-1.5,1.5,-0.12420257241676994,1.6839848581881913e-34,2.301828138743558e-34,-0.368993988471018,4.3302467781982e-33,5.9189866424834296e-33,-0.520508274969031,0,70,255.0,255.0,255.0
15,0.75,-1.5,1.5,-0.1433,4.209962145470471e-34,5.754570346858887e-34,-0.39484497117754475,5.77366237093093e-33,7.891982189977902e-33,-0.5135310332920411,0,70,255.0,255.0,255.0
16,0.8,-1.5,1.5,-0.16368208964981423,5.72554851783984e-34,7.826215671728086e-34,-0.42039716080146083,2.886831185465418e-34,3.9459910949888864e-34,-0.5085565516646009,0,70,255.0,255.0,255.0
17,0.8500000000000001,-1.5,1.5,-0.18533557067878992,4.498645264017014e-34,6.149169456357775e-34,-0.4457006263440049,-5.196296133837846e-33,-7.102783970980124e-33,-0.5035820700371608,0,70,255.0,255.0,255.0
18,0.9,-1.5,1.5,-0.2082480068828585,5.292523840020005e-35,7.234317007479714e-35,-0.47075536780517685,-1.0681275386222223e-32,-1.4600167051459122e-32,-0.49860758840972064,0,70,255.0,255.0,255.0
19,0.9500000000000001,-1.5,1.5,-0.23240696205795142,-6.1826301222052135e-34,-8.450997595101353e-34,-0.49556138518497694,-1.6166254638606612e-32,-2.2097550131938134e-32,-0.4936331067822805,0,70,255.0,255.0,255.0
20,1.0,-1.5,1.5,-0.2578,-1.5637002254604605e-33,-2.137411843119015e-33,-0.5201186784834049,-2.1651233890990987e-32,-2.959493321241713e-32,-0.48865862515484615,0,70,255.0,255.0,255.0
21,1.05,-1.5,1.5,-0.2844135551923583,-2.1338493845898898e-33,-2.9167450843793328e-33,-0.544359488945816,-1.1547324741861645e-33,-1.578396437995549e-33,-0.4809737933415956,0,70,255.0,255.0,255.0
22,1.1,-1.5,1.5,-0.3122295448680706,-1.679173472879077e-33,-2.29525148691857e-33,-0.5682160578175645,1.9341768942618658e-32,2.643814033642603e-32,-0.4732889615283451,0,70,255.0,255.0,255.0
23,1.1500000000000001,-1.5,1.5,-0.34122875694760374,-1.9967249032802266e-34,-2.7293105073672683e-34,-0.5916883850986505,3.983827035942348e-32,5.445467711084761e-32,-0.4656041297150946,0,70,255.0,255.0,255.0
