idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-2.5,0.0,0.0,-1.0448304561988967e-16,3.3452027945991517e-16,0.08069568992625242,1.253796547438676e-15,-4.014243353518982e-15,-2.2459482791150287,0,70,255.0,255.0,255.0
1,0.05,-2.5,1.2042730060556948e-17,0.0012482448373450877,-4.806220098514924e-17,1.5387932855156097e-16,-0.03034798263392387,1.0030372379509408e-15,-3.2113946828151857e-15,-2.1957986232920232,0,70,255.0,255.0,255.0
2,0.1,-2.5,1.605697341407593e-17,-0.002993006883539883,-4.179321824795585e-18,1.3380811178396609e-17,-0.1388841724029499,7.522779284632055e-16,-2.4085460121113894e-15,-2.1456489674690173,0,70,255.0,255.0,255.0
3,0.15000000000000002,-2.5,1.4049851737316437e-17,-0.012598381023097401,2.7165591861171328e-17,-8.697527265957803e-17,-0.24491287938082568,5.015186189754702e-16,-1.6056973414075922e-15,-2.095499311646012,0,70,255.0,255.0,255.0
4,0.2,-2.5,8.028486707037966e-18,-0.027442503441769944,4.5972540072751437e-17,-1.4718892296236265e-16,-0.34843410356755106,2.507593094877351e-16,-8.028486707037963e-16,-2.045349655823006,0,70,255.0,255.0,255.0
5,0.25,-2.5,0.0,-0.0474,5.224152280994483e-17,-1.6726013972995758e-16,-0.44944784496312623,0.0,0.0,-1.9952000000000019,0,70,255.0,255.0,255.0
6,0.30000000000000004,-2.5,-8.028486707037971e-18,-0.0723454965582301,4.597254007275144e-17,-1.4718892296236265e-16,-0.5479541035675511,-2.507593094877354e-16,8.028486707037971e-16,-1.9450503441769948,0,70,255.0,255.0,255.0
7,0.35000000000000003,-2.5,-1.404985173731644e-17,-0.10215361897690263,2.7165591861171297e-17,-8.697527265957788e-17,-0.6439528793808257,-5.015186189754705e-16,1.6056973414075934e-15,-1.8949006883539878,0,70,255.0,255.0,255.0
8,0.4,-2.5,-1.6056973414075927e-17,-0.13669899311646014,-4.179321824795604e-18,1.3380811178396658e-17,-0.7374441724029499,-7.522779284632057e-16,2.4085460121113898e-15,-1.844751032530981,0,70,255.0,255.0,255.0
9,0.45,-2.5,-1.2042730060556947e-17,-0.1758562448373451,-4.806220098514926e-17,1.5387932855156102e-16,-0.8284279826339238,-1.0030372379509408e-15,3.2113946828151857e-15,-1.794601376707974,0,70,255.0,255.0,255.0
10,0.5,-2.5,0.0,-0.2195,-1.0448304561988967e-16,3.3452027945991517e-16,-0.9169043100737474,-1.2537965474386757e-15,4.014243353518982e-15,-1.7444517208849595,0,70,255.0,255.0,255.0
11,0.55,-2.5,2.0071216767594928e-17,-0.2674998586044249,-1.3582795930585654e-16,4.348763632978897e-16,-1.0025716030958713,1.1832913578315177e-30,-3.944304526105059e-30,-1.6822399999999957,0,70,255.0,255.0,255.0
12,0.6000000000000001,-2.5,4.014243353518985e-17,-0.31970531720884976,-1.0448304561988953e-16,3.3452027945991477e-16,-1.0851283100737472,1.2537965474386781e-15,-4.01424335351899e-15,-1.620028279115032,0,70,255.0,255.0,255.0
13,0.65,-2.5,5.0178041918987276e-17,-0.3759608465110621,-1.0448304561988889e-17,3.34520279459914e-17,-1.1645744310073745,2.5075930948773523e-15,-8.028486707037967e-15,-1.5578165582300683,0,70,255.0,255.0,255.0
14,0.7000000000000001,-2.5,4.0142433535189777e-17,-0.4361109172088497,1.4627626386784583e-16,-4.683283912438821e-16,-1.240909965896754,3.7613896423160296e-15,-1.2042730060556952e-14,-1.4956048373451045,0,70,255.0,255.0,255.0
15,0.75,-2.5,0.0,-0.5,3.656906596696138e-16,-1.170820978109703e-15,-1.3141349147418848,5.015186189754705e-15,-1.6056973414075928e-14,-1.4333931164601328,0,70,255.0,255.0,255.0
16,0.8,-2.5,-7.225638036334175e-17,-0.5674742690240707,4.973392971506749e-16,-1.592316530229196e-15,-1.3843514840489635,2.5075930948773136e-16,-8.028486707037841e-16,-1.3752696558230053,0,70,255.0,255.0,255.0
17,0.8500000000000001,-2.5,-1.4651988240344294e-16,-0.6383867121876988,3.9076659061838704e-16,-1.2511058451800817e-15,-1.4516618803241854,-4.5136675707792426e-15,1.445127607266836e-14,-1.3171461951858776,0,70,255.0,255.0,255.0
18,0.9,-2.5,-1.8465519426187316e-16,-0.7125920208392916,4.597254007275129e-17,-1.4718892296236215e-16,-1.516066103567551,-9.278094451046203e-15,2.970540081604047e-14,-1.2590227345487501,0,70,255.0,255.0,255.0
19,0.9500000000000001,-2.5,-1.4852700408020215e-16,-0.7899448863272563,-5.370428544862338e-16,1.719434236423967e-15,-1.5775641537790603,-1.4042521331313177e-14,4.495952555941262e-14,-1.2008992739116227,0,70,255.0,255.0,255.0
