idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-7.5,10.0,0.0,-1.8435860293766078e-16,-1.2277909361039042e-15,0.08069568992625265,2.2123032352519293e-15,1.473349123324685e-14,-2.2459482791150314,0,70,255.0,255.0,255.0
1,0.05,-7.5,10.0,0.0012482448373450949,-8.480495735132395e-17,-5.647838306077959e-16,-0.030347982633923774,1.7698425882015434e-15,1.178679298659748e-14,-2.195798623292025,0,70,255.0,255.0,255.0
2,0.1,-7.5,10.0,-0.0029930068835398744,-7.374344117506424e-18,-4.9111637444156215e-17,-0.1388841724029499,1.3273819411511574e-15,8.840094739948109e-15,-2.145648967469019,0,70,255.0,255.0,255.0
3,0.15000000000000002,-7.5,10.0,-0.012598381023097393,4.793323676379183e-17,3.192256433870152e-16,-0.2449128793808257,8.849212941007715e-16,5.893396493298738e-15,-2.0954993116460128,0,70,255.0,255.0,255.0
4,0.2,-7.5,10.0,-0.027442503441769944,8.111778529257074e-17,5.402280118857176e-16,-0.34843410356755117,4.4246064705038575e-16,2.946698246649369e-15,-2.045349655823007,0,70,255.0,255.0,255.0
5,0.25,-7.5,10.0,-0.0474,9.217930146883039e-17,6.138954680519521e-16,-0.44944784496312634,0.0,0.0,-1.995200000000001,0,70,255.0,255.0,255.0
6,0.30000000000000004,-7.5,10.0,-0.0723454965582301,8.111778529257073e-17,5.402280118857177e-16,-0.5479541035675513,-4.4246064705038624e-16,-2.9466982466493723e-15,-1.945050344176994,0,70,255.0,255.0,255.0
7,0.35000000000000003,-7.5,10.0,-0.10215361897690263,4.793323676379177e-17,3.192256433870149e-16,-0.6439528793808258,-8.84921294100772e-16,-5.8933964932987415e-15,-1.894900688353987,0,70,255.0,255.0,255.0
8,0.4,-7.5,10.0,-0.13669899311646014,-7.374344117506461e-18,-4.9111637444156265e-17,-0.7374441724029499,-1.3273819411511578e-15,-8.84009473994811e-15,-1.8447510325309802,0,70,255.0,255.0,255.0
9,0.45,-7.5,10.0,-0.17585624483734513,-8.480495735132399e-17,-5.647838306077961e-16,-0.8284279826339238,-1.7698425882015436e-15,-1.178679298659748e-14,-1.7946013767079732,0,70,255.0,255.0,255.0
10,0.5,-7.5,10.0,-0.2195,-1.8435860293766078e-16,-1.2277909361039042e-15,-0.9169043100737472,-2.2123032352519293e-15,-1.4733491233246846e-14,-1.7444517208849577,0,70,255.0,255.0,255.0
11,0.55,-7.5,10.0,-0.2674998586044249,-2.39666183818959e-16,-1.5961282169350751e-15,-1.0025716030958711,1.9721522630525295e-30,1.5777218104420236e-29,-1.682239999999996,0,70,255.0,255.0,255.0
12,0.6000000000000001,-7.5,10.0,-0.31970531720884976,-1.8435860293766058e-16,-1.2277909361039028e-15,-1.085128310073747,2.2123032352519333e-15,1.4733491233246877e-14,-1.6200282791150344,0,70,255.0,255.0,255.0
13,0.65,-7.5,10.0,-0.37596084651106204,-1.8435860293766e-17,-1.2277909361038933e-16,-1.1645744310073745,4.4246064705038594e-15,2.9466982466493704e-14,-1.557816558230073,0,70,255.0,255.0,255.0
14,0.7000000000000001,-7.5,10.0,-0.4361109172088497,2.5810204411272566e-16,1.7189073105454696e-15,-1.2409099658967542,6.636909705755791e-15,4.420047369974056e-14,-1.4956048373451112,0,70,255.0,255.0,255.0
15,0.75,-7.5,10.0,-0.5,6.452551102818127e-16,4.2972682763636644e-15,-1.3141349147418855,8.849212941007717e-15,5.893396493298741e-14,-1.4333931164601452,0,70,255.0,255.0,255.0
16,0.8,-7.5,10.0,-0.5674742690240707,8.775469499832652e-16,5.8442848558545836e-15,-1.3843514840489646,4.4246064705037766e-16,2.9466982466493187e-15,-1.375269655823007,0,70,255.0,255.0,255.0
17,0.8500000000000001,-7.5,10.0,-0.638386712187699,6.895011749868505e-16,4.591938101028597e-15,-1.4516618803241863,-7.964291646906962e-15,-5.304056843968877e-14,-1.3171461951858687,0,70,255.0,255.0,255.0
18,0.9,-7.5,10.0,-0.7125920208392916,8.11177852925704e-17,5.402280118857137e-16,-1.5160661035675513,-1.637104394086428e-14,-1.0902783512602674e-13,-1.2590227345487306,0,70,255.0,255.0,255.0
19,0.9500000000000001,-7.5,10.0,-0.7899448863272563,-9.476032190995785e-16,-6.310845411574082e-15,-1.5775641537790592,-2.4777796234821622e-14,-1.6501510181236483e-13,-1.2008992739115925,0,70,255.0,255.0,255.0
20,1.0,-7.5,10.0,-0.8703,-2.39666183818959e-15,-1.5961282169350755e-14,-1.6361560309587104,-3.3184548528778935e-14,-2.210023684987028e-13,-1.1427758132744614,0,70,255.0,255.0,255.0
21,1.05,-7.5,10.0,-0.9535126652992927,-3.2705216161141018e-15,-2.1781011206483263e-14,-1.6918784607082713,-1.7698425882015106e-15,-1.1786792986597275e-14,-1.086121376707976,0,70,255.0,255.0,255.0
22,1.1,-7.5,9.999999999999996,-1.039440634040355,-2.5736460970097417e-15,-1.7139961468010482e-14,-1.744768168629508,2.9644863352375914e-14,1.9742878252550824e-13,-1.0294669401414906,0,70,255.0,255.0,255.0
23,1.1500000000000001,-7.5,9.999999999999998,-1.1279422701317716,-3.060352808765071e-16,-2.038132953932415e-15,-1.7948251547224205,6.105956929295333e-14,4.066443580376137e-13,-0.9728125035750053,0,70,255.0,255.0,255.0
24,1.2000000000000002,-7.500000000000001,9.999999999999998,-1.2188759374821254,3.5323108322855973e-15,2.3524474335750926e-14,-1.8420494189870087,9.247427523353076e-14,6.158599335497192e-13,-0.9161580670085199,0,70,255.0,255.0,255.0
25,1.25,-7.5,10.0,-1.3121,8.941392242476548e-15,5.954786040103936e-14,-1.8864409614232724,1.23888981174108e-13,8.250755090618238e-13,-0.8595036304420454,0,70,255.0,255.0,255.0
26,1.3,-7.499999999999999,10.000000000000005,-1.4074782697787593,1.2204539514473142e-14,8.127975997007846e-14,-1.9283266731179514,6.636909705755638e-15,4.4200473699739856e-14,-0.8159248373451099,0,70,255.0,255.0,255.0
