idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-2.5,-2.5,0.0,-3.559229887614917e-21,-2.7385554673826437e-21,0.04815125770576556,4.2710758651378997e-20,3.286266560859172e-20,-1.3298150924691872,0,70,255.0,255.0,255.0
1,0.05,-2.5,-2.5,0.0007518452774075595,-1.637245748302862e-21,-1.259735514996016e-21,-0.017946421455347868,3.41686069211032e-20,2.6290132486873376e-20,-1.3140920739753497,0,70,255.0,255.0,255.0
2,0.1,-2.5,-2.5,-0.0017815396301232558,-1.4236919550459713e-22,-1.0954221869530578e-22,-0.08325794969176942,2.5626455190827398e-20,1.971759936515503e-20,-1.2983690554815122,0,70,255.0,255.0,255.0
3,0.15000000000000002,-2.5,-2.5,-0.007560847176357852,9.253997707798782e-22,7.120244215194871e-22,-0.1477833270034991,1.7084303460551596e-20,1.3145066243436687e-20,-1.2826460369876744,0,70,255.0,255.0,255.0
4,0.2,-2.5,-2.5,-0.01654676981506164,1.566061150550562e-21,1.204964405648363e-21,-0.21152255339053688,8.5421517302758e-21,6.572533121718342e-21,-1.266923018493837,0,70,255.0,255.0,255.0
5,0.25,-2.5,-2.5,-0.0287,1.7796149438074583e-21,1.3692777336913218e-21,-0.27447562885288274,0.0,0.0,-1.2511999999999985,0,70,255.0,255.0,255.0
6,0.30000000000000004,-2.5,-2.5,-0.04398123018493839,1.566061150550563e-21,1.2049644056483629e-21,-0.33664255339053684,-8.542151730275807e-21,-6.57253312171835e-21,-1.2354769815061621,0,70,255.0,255.0,255.0
7,0.35000000000000003,-2.5,-2.5,-0.06235115282364216,9.253997707798778e-22,7.120244215194869e-22,-0.398023327003499,-1.7084303460551605e-20,-1.3145066243436693e-20,-1.2197539630123257,0,70,255.0,255.0,255.0
8,0.4,-2.5,-2.5,-0.08377046036987675,-1.4236919550459713e-22,-1.0954221869530597e-22,-0.45861794969176933,-2.56264551908274e-20,-1.9717599365155034e-20,-1.2040309445184896,0,70,255.0,255.0,255.0
9,0.45,-2.5,-2.5,-0.10819984527740756,-1.6372457483028623e-21,-1.2597355149960162e-21,-0.5184264214553479,-3.41686069211032e-20,-2.629013248687338e-20,-1.1883079260246532,0,70,255.0,255.0,255.0
10,0.5,-2.5,-2.5,-0.1356,-3.559229887614917e-21,-2.7385554673826437e-21,-0.5774487422942346,-4.2710758651379e-20,-3.2862665608591715e-20,-1.1725849075308146,0,70,255.0,255.0,255.0
