hw_id,pos_id,x,y,ip,mavlink_port,debug_port,gcs_ip
1,1,-1.5,-1.5,172.17.0.3,14551,13541,172.17.0.12
2,2,-1.5,1.5,172.17.0.4,14552,13542,172.17.0.12
3,3,1.5,-1.5,172.17.0.5,14553,13543,172.17.0.12
4,4,1.5,1.5,172.17.0.6,14554,13544,172.17.0.12
5,5,3,1.5,172.17.0.7,14555,13545,172.17.0.12
6,6,4.2,2.1,172.17.0.8,14556,13546,172.17.0.12
7,7,5.4,2.7,172.17.0.9,14557,13547,172.17.0.12
8,8,6.6,3.3,172.17.0.10,14558,13548,172.17.0.12
9,9,6.6,3.3,172.17.0.11,14558,13549,172.17.0.12
